Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (ORF )
A3GHR1	A3GHR1_PICST	unreviewed	Glutamate decarboxylase (EC 4.1.1.15)	DCE1 PICST_40180	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DCE1		PICST_40180
A3GGX7	A3GGX7_PICST	unreviewed	Nucleolar protein involved in pre-rRNA processing	SIK1 PICST_68812	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SIK1		PICST_68812
A3LTC6	A3LTC6_PICST	unreviewed	Lipoate ligase	PICST_58727	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_58727
A3GGD9	A3GGD9_PICST	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	MDH1 PICST_66451	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MDH1		PICST_66451
A3LWA7	A3LWA7_PICST	unreviewed	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	PICST_60761	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_60761
A3GHA2	A3GHA2_PICST	unreviewed	Uncharacterized protein	PICST_86797	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_86797
A3LYY5	A3LYY5_PICST	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	LPD1 PICST_36951	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	LPD1		PICST_36951
A3LVI4	A3LVI4_PICST	unreviewed	Serine/threonine kinase	CST20 PICST_84188	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CST20		PICST_84188
A3LZQ5	A3LZQ5_PICST	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24) (Fragment)	PICST_18249	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_18249
A3LZE4	A3LZE4_PICST	unreviewed	Beta-glucan synthesis-associated protein (Fragment)	KRE6 PICST_63619	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	KRE6		PICST_63619
A3LNL8	A3LNL8_PICST	unreviewed	Uncharacterized protein	PICST_29635	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_29635
A3LR17	A3LR17_PICST	unreviewed	ATP-binding cassette transporter family member	MDL1 PICST_76772	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MDL1		PICST_76772
A3M0Q3	A3M0Q3_PICST	unreviewed	Putative ion transporter	HOL32 PICST_64182	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	HOL32		PICST_64182
A3LWE4	A3LWE4_PICST	unreviewed	2'-hydroxyisoflavone reductase	PICST_32443	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32443
A3LXT8	A3LXT8_PICST	unreviewed	Kinesin-like protein	PICST_73373	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_73373
A3LZ15	A3LZ15_PICST	unreviewed	Heat shock protein of the HSP70 family (SSB1) (HSP75)	HSP70.1 PICST_79362	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	HSP70.1		PICST_79362
A3LW67	A3LW67_PICST	unreviewed	6-phosphogluconolactonase-like protein	SOL1 PICST_60598	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SOL1		PICST_60598
A3LWI6	A3LWI6_PICST	unreviewed	DNL zinc finger protein (Fragment)	PICST_59964	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_59964
A3M076	A3M076_PICST	unreviewed	Zinc finger family protein (Fragment)	PICST_33812	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_33812
A3GHD4	A3GHD4_PICST	unreviewed	zinc_ribbon_10 domain-containing protein	PICST_28943	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_28943
A3LWY7	A3LWY7_PICST	unreviewed	Uncharacterized protein	PICST_36557	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_36557
A3GGG4	A3GGG4_PICST	unreviewed	CBFD_NFYB_HMF domain-containing protein	PICST_86136	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_86136
A3GHN1	A3GHN1_PICST	unreviewed	Glucose repression mediator protein	SSN6 PICST_66638	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SSN6		PICST_66638
A3M0D6	A3M0D6_PICST	unreviewed	Suppressor of glycerol defect	SGD1 PICST_64024	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SGD1		PICST_64024
A3LMY9	A3LMY9_PICST	unreviewed	RNA polymerase II transcription initiation factor TFIIF middle subunit	PICST_81830	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_81830
A3LTP3	A3LTP3_PICST	unreviewed	NADH-cytochrome b5 reductase (EC 1.6.2.2)	CBR3 PICST_45522	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CBR3		PICST_45522
F2Z689	F2Z689_PICST	unreviewed	Sugar transporter	SUT2 PICST_27983	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SUT2		PICST_27983
A3LND0	A3LND0_PICST	unreviewed	Lumen HSP Seventy	LHS1 PICST_42658	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	LHS1		PICST_42658
A3LSY4	A3LSY4_PICST	unreviewed	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein QRI7) (tRNA threonylcarbamoyladenosine biosynthesis protein QRI7)	QRI7 PICST_31214	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	QRI7		PICST_31214
A3LSR2	A3LSR2_PICST	unreviewed	Endoplasmic reticulum transmembrane protein	YET1 PICST_35738	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	YET1		PICST_35738
A3LSY8	A3LSY8_PICST	unreviewed	Dentin sialophosphoprotein	DSP7 PICST_77757	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DSP7		PICST_77757
A3LNZ5	A3LNZ5_PICST	unreviewed	Coatomer subunit alpha	PICST_87280	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_87280
A3LN84	A3LN84_PICST	unreviewed	Transmembrane protein	PAL2 PICST_56077	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PAL2		PICST_56077
A3M0G6	A3M0G6_PICST	unreviewed	Multifunctional pyrimidine synthesis protein CAD (Includes carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase)	CPA2 PICST_50410	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CPA2		PICST_50410
A3LR99	A3LR99_PICST	unreviewed	Cell wall glucanase Probable family 17 glucosidase SCW4 (Soluble cell wall protein 4) (EC 3.2.1.58) (Fragment)	SCW4.2 PICST_57025	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SCW4.2		PICST_57025
A3LX35	A3LX35_PICST	unreviewed	Glucan 1,3-beta-glucosidase (Exo-1,3-beta-glucanase) (EC 3.2.1.58)	EXG2 PICST_78873	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	EXG2		PICST_78873
A3GID7	A3GID7_PICST	unreviewed	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	RPO21 PICST_75374	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RPO21		PICST_75374
A3LR18	A3LR18_PICST	unreviewed	Sterol 3-beta-glucosyltransferase (EC 2.4.1.173) (Autophagy-related protein 26) (Fragment)	ATG26 PICST_191	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ATG26		PICST_191
A3LUF8	A3LUF8_PICST	unreviewed	Uncharacterized protein	PICST_58842	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_58842
A3LW82	A3LW82_PICST	unreviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	PICST_83803	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_83803
A3GGL2	A3GGL2_PICST	unreviewed	Uncharacterized protein (Fragment)	PICST_52196	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_52196
A3LQP4	A3LQP4_PICST	unreviewed	Uncharacterized protein	PICST_87256	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_87256
A3LTM9	A3LTM9_PICST	unreviewed	MFS transporter (Fragment)	MFS42 PICST_58666	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MFS42		PICST_58666
A3LY64	A3LY64_PICST	unreviewed	Ubiquitin--protein ligase	PICST_33064	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_33064
A3LS52	A3LS52_PICST	unreviewed	Uncharacterized protein	PICST_30926	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_30926
A3LWM0	A3LWM0_PICST	unreviewed	Azole resistance protein 1 (Fragment)	AZR3 PICST_60552	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	AZR3		PICST_60552
A3LW17	A3LW17_PICST	unreviewed	DNA helicase (EC 3.6.4.12)	MCM5 PICST_59868	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MCM5		PICST_59868
A3LYD5	A3LYD5_PICST	unreviewed	cAMP-dependent protein kinase catalytic subunit	TPK2 PICST_68202	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TPK2		PICST_68202
A3LRK9	A3LRK9_PICST	unreviewed	Uncharacterized protein	PICST_30726	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_30726
A3LWK6	A3LWK6_PICST	unreviewed	Uncharacterized protein	PICST_32505	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32505
A3LPW1	A3LPW1_PICST	unreviewed	Flavin-containing monooxygenase (EC 1.14.13.8)	FMO6 PICST_30092	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	FMO6		PICST_30092
A3LTB9	A3LTB9_PICST	unreviewed	Uncharacterized protein	PICST_59339	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_59339
A3LYQ3	A3LYQ3_PICST	unreviewed	Frataxin homolog, mitochondrial	FRD1 PICST_63502	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	FRD1		PICST_63502
A3LSI1	A3LSI1_PICST	unreviewed	Taurine catabolism dioxygenase	PICST_43041	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_43041
A3LMS9	A3LMS9_PICST	unreviewed	Acetyl-CoA C-acyltransferase, peroxisomal (EC 2.3.1.16)	POT13 PICST_55180	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	POT13		PICST_55180
A3GHK4	A3GHK4_PICST	unreviewed	Ribonucloprotein	PICST_53138	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_53138
A3GHQ8	A3GHQ8_PICST	unreviewed	Mitochondrial 2-enoyl thioester reductase (EC 1.6.5.5)	ETR1 PICST_53084	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ETR1		PICST_53084
A3LPM1	A3LPM1_PICST	unreviewed	Bud site selection protein	BUD6 PICST_30002	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	BUD6		PICST_30002
A3GIB0	A3GIB0_PICST	unreviewed	Uncharacterized protein (Fragment)	PICST_29282	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_29282
A3LNN8	A3LNN8_PICST	unreviewed	Mannosyltransferase (EC 2.4.1.-)	GPI10 PICST_29656	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	GPI10		PICST_29656
A3GG34	A3GG34_PICST	unreviewed	Sporulation protein involved in sister chromatid cohesion	SPO69 PICST_28455	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SPO69		PICST_28455
A3GHD2	A3GHD2_PICST	unreviewed	Phospholipid-transporting ATPase (EC 7.6.2.1)	DNF2 PICST_81178	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DNF2		PICST_81178
A3LSJ5	A3LSJ5_PICST	unreviewed	HTH APSES-type domain-containing protein	PICST_67427	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_67427
A3LP58	A3LP58_PICST	unreviewed	Uncharacterized protein	PICST_56142	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_56142
A3LVZ1	A3LVZ1_PICST	unreviewed	Uncharacterized protein	PICST_32294	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32294
A3LXQ9	A3LXQ9_PICST	unreviewed	Uncharacterized protein	PICST_48995	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_48995
A3LNC9	A3LNC9_PICST	unreviewed	Uncharacterized protein (Fragment)	PICST_42021	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_42021
A3LUS0	A3LUS0_PICST	unreviewed	Uncharacterized protein	PICST_31862	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_31862
A3GI70	A3GI70_PICST	unreviewed	Uncharacterized protein	PICST_29242	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_29242
A3GH11	A3GH11_PICST	unreviewed	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1)	NMA1 PICST_86133	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NMA1		PICST_86133
A3GFS9	A3GFS9_PICST	unreviewed	Phosphate permease	PHO87 PICST_86239	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PHO87		PICST_86239
A3GH86	A3GH86_PICST	unreviewed	Uncharacterized protein (Fragment)	PICST_40066	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_40066
A3LU79	A3LU79_PICST	unreviewed	Calcium/calmodulin-dependent protein kinase (Fragment)	PICST_59677	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_59677
A3LN98	A3LN98_PICST	unreviewed	Uncharacterized protein	PICST_29516	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_29516
A3GI22	A3GI22_PICST	unreviewed	Nucleoporin NUP49/NSP49 (Nuclear pore protein NUP49/NSP49)	NUP49 PICST_66703	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NUP49		PICST_66703
A3LS58	A3LS58_PICST	unreviewed	Ureidoglycolate hydrolase	DAL3 PICST_43701	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DAL3		PICST_43701
A3GH27	A3GH27_PICST	unreviewed	Chromosome region maintenance protein 1	PICST_86741	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_86741
A3LV58	A3LV58_PICST	unreviewed	60S ribosomal protein L25 (Fragment)	PICST_61259	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_61259
A3LV50	A3LV50_PICST	unreviewed	Mitochondrial malate dehydrogenase (EC 1.1.1.38)	MAE1 PICST_89732	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MAE1		PICST_89732
A3GF34	A3GF34_PICST	unreviewed	mRNA-capping enzyme subunit alpha (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (mRNA guanylyltransferase)	CEG1 PICST_34053	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CEG1		PICST_34053
A3GET5	A3GET5_PICST	unreviewed	Uncharacterized protein	PICST_27997	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_27997
A3LXL9	A3LXL9_PICST	unreviewed	DUF676 domain-containing protein (Fragment)	PICST_78871	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_78871
A3LUU0	A3LUU0_PICST	unreviewed	AB hydrolase-1 domain-containing protein	PICST_46178	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_46178
A3LWS1	A3LWS1_PICST	unreviewed	Glutaredoxin domain-containing protein (Fragment)	PICST_48859	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_48859
A3LW66	A3LW66_PICST	unreviewed	PI31_Prot_C domain-containing protein	PICST_32365	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32365
A3LVI3	A3LVI3_PICST	unreviewed	Uncharacterized protein	PICST_32134	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32134
A3LZA7	A3LZA7_PICST	unreviewed	Uncharacterized protein	PICST_33473	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_33473
A3GHV7	A3GHV7_PICST	unreviewed	Quinate permease (Quinate transporter)	QUP4 PICST_39416	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	QUP4		PICST_39416
A3LW73	A3LW73_PICST	unreviewed	Nucleolar shuttling protein with an RNA recognition motif	PICST_67925	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_67925
A3GEV4	A3GEV4_PICST	unreviewed	Uncharacterized protein	PICST_38498	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_38498
A3LTB1	A3LTB1_PICST	unreviewed	Vacuolar amino acid transporter	PICST_45709	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_45709
A3GFP2	A3GFP2_PICST	unreviewed	rRNA-processing protein	YGC9 PICST_34189	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	YGC9		PICST_34189
A3GEZ7	A3GEZ7_PICST	unreviewed	Universal stress protein (USP) family protein possible involvement in nucleo-mitochondrial control of maltose, galactose and raffinose utilization	USP1 PICST_74592	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	USP1		PICST_74592
A3LQQ4	A3LQQ4_PICST	unreviewed	Probable hexose transporter (Fragment)	HXT2.3 PICST_54022	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	HXT2.3		PICST_54022
A3LV68	A3LV68_PICST	unreviewed	Uncharacterized protein	PICST_89559	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_89559
A3LXP7	A3LXP7_PICST	unreviewed	NADH dehydrogenase I beta subcomplex 9	PICST_79236	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_79236
A3LYW1	A3LYW1_PICST	unreviewed	Serine palmitoyltransferase component (EC 2.3.1.50)	LCB1 PICST_90811	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	LCB1		PICST_90811
A3LPU1	A3LPU1_PICST	unreviewed	Uncharacterized protein	PICST_30072	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_30072
A3LX40	A3LX40_PICST	unreviewed	WD40 repeat protein	RIC1 PICST_49032	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RIC1		PICST_49032
A3GFM4	A3GFM4_PICST	unreviewed	Putative ADP-ribosylation factor in the carboxypeptidase Y pathway	ARL3 PICST_52766	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ARL3		PICST_52766
A3LVR3	A3LVR3_PICST	unreviewed	Uncharacterized protein	PICST_32216	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_32216
A3LNG3	A3LNG3_PICST	unreviewed	RING finger domain-containing protein (Fragment)	PICST_54919	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_54919
A3GFH7	A3GFH7_PICST	unreviewed	ArAE_2 domain-containing protein	PICST_28250	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_28250
A3LZ03	A3LZ03_PICST	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	GLC7 PICST_85252	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	GLC7		PICST_85252
A3LQM1	A3LQM1_PICST	unreviewed	Uncharacterized protein	PICST_54878	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_54878
A3LU18	A3LU18_PICST	unreviewed	Inositol-1,4,5-triphosphate 5-phosphatase (EC 3.1.3.56)	INP51 PICST_58872	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	INP51		PICST_58872
